ID	Main category	Secondary category	Tertiary category	Hard
3949	News/Reporting			
3726	Information/Explanation			
5621	Promotion of Services	Opinion/Argumentation	Information/Explanation	
3776	News/Reporting			
2102	Opinionated News			
2816	Promotion of a Product	Review		
6979	Invitation			
5649	Legal/Regulation			
3174	Invitation			
3823	Promotion of a Product	Instruction		
9257	News/Reporting			
8887	Forum			
645	Opinion/Argumentation			
9961	Opinionated News			
8116	Lyrical			
9923	Announcement			
3875	Opinion/Argumentation			
3875#1	Forum			
1926	Promotion of a Product	News/Reporting		
1210	Promotion of a Product	Information/Explanation		
7967	FAQ			
1126	Opinion/Argumentation			
1247	Opinionated News			
8760	Instruction	Promotion of a Product		
8684	Research Article			
7186	News/Reporting			
8795	Opinion/Argumentation	Instruction		
1676	Opinionated News			
1676#1	Forum			
9847	Promotion of a Product	Opinion/Argumentation		
2013	News/Reporting	Promotion of a Product		
6695	Opinion/Argumentation	Promotion of Services		
6183	Information/Explanation			
9438	Information/Explanation	Promotion of a Product		
1329	Opinionated News			
1329#1	List of Summaries/Excerpts	Opinionated News		
8678	Opinion/Argumentation			
5430	Opinionated News			
462	News/Reporting	Information/Explanation		
6383	List of Summaries/Excerpts			
5632	News/Reporting			
2303	Invitation	News/Reporting		
853	Instruction	Information/Explanation		
3785	News/Reporting			
4412	Information/Explanation	Opinion/Argumentation		
9498	Opinion/Argumentation		Information/Explanation	
4188	Opinionated News			
9800	Legal/Regulation			
2831	List of Summaries/Excerpts	News/Reporting		
7984	Opinionated News			
8694	Opinionated News			
7189	Opinionated News			
7393	Opinionated News			
4750	Information/Explanation	Instruction		
8556	Opinionated News			
6729	Opinion/Argumentation			
6729#1	Forum			
746	Opinionated News			
1524	News/Reporting			
4136	List of Summaries/Excerpts	Opinionated News		
6438	Promotion of Services		Information/Explanation	
8773	Opinion/Argumentation			
8773#1	Forum			
1754	Correspondence			
2983	Correspondence			
2508	Information/Explanation		Promotion of Services	
3655	List of Summaries/Excerpts	Review		
9175	Information/Explanation		Opinion/Argumentation	
9175#1	Correspondence			
9175#2	Opinionated News			
2107	List of Summaries/Excerpts			
9891	Promotion			
6405	List of Summaries/Excerpts			
3453	Promotion of a Product			
8176	Information/Explanation		Opinion/Argumentation	
425	Instruction			
3057	Promotion	Promotion of services		
4586	List of Summaries/Excerpts		Promotion	
1587	Opinion/Argumentation			
2666	News/Reporting			
5245	Information/Explanation			
6766	Promotion of Services	Review		
5512	Information/Explanation		Instruction	
2663	Information/Explanation			
7128	Information/Explanation			
3356	Opinionated News			
1457	Invitation			
7980	Promotion of a Product			
3326	Information/Explanation	Instruction		
640	Promotion of a Product			
1125	Promotion of a Product			
5333	News/Reporting			
6271	Invitation			
6271#1	Opinion/Argumentation			
9711	Opinionated News			
179	Opinionated News			
179#1	Lyrical			
3978	List of Summaries/Excerpts			
4134	News/Reporting			
2408	Promotion of Services			
8863	News/Reporting			
6845	News/Reporting		Opinion/Argumentation	
753	Information/Explanation			
5204	Opinion/Argumentation			
8688	Promotion of a Product			
7264	News/Reporting			
9253	Promotion of a Product			
6202	News/Reporting			
626	News/Reporting			
820	Announcement			
5004	Invitation			
4974	Information/Explanation			
3511	Opinionated News			
7818	Information/Explanation			
9194	Opinion/Argumentation			
6888	Promotion	News/Reporting		H
4709	Opinion/Argumentation			
3933	Opinion/Argumentation			
3933#1	Forum			
137	Promotion of a Product			
1196	Opinionated News			
7958	News/Reporting			
5594	News/Reporting			
305	Information/Explanation			
2257	Opinion/Argumentation			
2257#1	Forum			
3116	Opinion/Argumentation			
8650	Promotion of a Product	Review		
2939	News/Reporting		Opinion/Argumentation	
3954	Promotion of a Product	News/Reporting		
5491	Instruction			
7119	Opinion/Argumentation			
9808	Information/Explanation		Promotion	
8195	Legal/Regulation			
7157	Opinion/Argumentation	Information/Explanation		
7694	Information/Explanation	Opinion/Argumentation		
6339	Information/Explanation			
3096	Opinion/Argumentation			
9338	Promotion of a Product			
9338#1	Recipe			
5137	News/Reporting			
6964	Opinionated News			
8455	Instruction			
8722	Invitation			
4644	Information/Explanation			
5852	Review			
6694	News/Reporting			
6710	Information/Explanation			
6447	News/Reporting			
5545	Information/Explanation			
1330	Opinion/Argumentation			
1330#1	Forum			
329	Information/Explanation			
2856	Promotion of a Product	Information/Explanation		
6576	List of Summaries/Excerpts	Promotion of a Product		
5100	Information/Explanation	Promotion		
5127	Information/Explanation			
4630	News/Reporting	Invitation		
9322	Promotion of Services			
2519	Prose			
9454	News/Reporting			
3086	List of Summaries/Excerpts			
6575	Promotion of a Product	News/Reporting		
2752	Information/Explanation			
1243	Call			
400	Information/Explanation			
6913	Invitation	News/Reporting		
5828	News/Reporting			
334	Other			
334#1	List of Summaries/Excerpts			
3285	Information/Explanation			
8700	List of Summaries/Excerpts	Information/Explanation		
4954	Opinion/Argumentation			
4954#1	Forum			
2771	List of Summaries/Excerpts	Information/Explanation		
9129	Instruction	Information/Explanation		
9129#1	Information/Explanation			
9129#2	Instruction	Information/Explanation		
7635	Promotion			
4935	Other			
6036	Information/Explanation			
1650	Review	Information/Explanation		
5406	Opinionated News			
7102	Legal/Regulation			
6600	Invitation			
2015	Review			
3839	Interview			
1521	Other			
7611	Invitation			
7611#1	Announcement			
7611#2	Invitation			
5169	Opinion/Argumentation			
2639	List of Summaries/Excerpts			
5122	News/Reporting			
741	Promotion of a Product			
9170	Promotion			
3286	Instruction			
9558	Invitation			
6652	Promotion of a Product			
2292	Promotion			
1193	Opinionated News			
502	Information/Explanation			
3118	News/Reporting		Opinion/Argumentation	
3076	Opinion/Argumentation			
3076#1	Information/Explanation		Opinion/Argumentation	
712	Promotion of a Product		Information/Explanation	
1386	Promotion of a Product			
6909	Opinion/Argumentation			
2534	Promotion of a Product			
4922	News/Reporting			
2263	Promotion of Services			
3828	Opinion/Argumentation		Information/Explanation	
3828#1	Forum			
5568	Opinion/Argumentation			
3769	Opinionated News			
7542	News/Reporting		Promotion	
7410	Opinionated News	News/Reporting		
8017	News/Reporting		Promotion	
2573	Opinion/Argumentation		Information/Explanation	
9373	News/Reporting			
9373#1	Forum			
8741	Opinion/Argumentation		Instruction	
803	Promotion of Services			
