ID	Main category	Secondary category
1237	Encoding Issues	
3280	Too Long	
3274	Encoding Issues	
2992	Machine Translation	
3367	Encoding Issues	
3027#1	Too Short/Incoherent	
7002	Encoding Issues	
4116	Multiple Texts	
620	Non-textual	
8456	Encoding Issues	
577	Encoding Issues	
661	Too Short/Incoherent	
5854	Multiple Texts	
3888	Too Long	
19076847	Too Short/Incoherent	
5405902	Generated Text	
9228089	Multiple Texts	
15610523	Machine Translation	
32109749	Too Short/Incoherent	
1862612	Machine Translation	
10858840	Machine Translation	
11961212	Non-textual	
13159932	Non-textual	
25459745	Non-textual	
1371618	Not Slovene	
20368657	Not Slovene	
25370656	Multiple Texts	
1877338	Machine Translation	
3776987	Non-textual	
29274440	Too Short/Incoherent	
7879075	Non-textual	
14178640	Not Slovene	
486846	Non-textual	
3592908	Too Short/Incoherent	
24491245	Machine Translation	
4594403	Machine Translation	
6696954	Non-textual	
31193966	Too Long	
2301511	Non-textual	
8503190	Non-textual	
2503708	Non-textual	
13808007	Too Short/Incoherent	
21206370	Non-textual	
18815641	Too Short/Incoherent	
21515622	Machine Translation	
28917028	HTML Source Code	
1718341	Non-textual	
2531344	Machine Translation	
8732767	Non-textual	
20628609	Too Short/Incoherent	
27932182	Non-textual	
11637173	Machine Translation	
13550148	Boilerplate	
3556697	Not Slovene	
9212907	Machine Translation	
12210135	Machine Translation	
14808799	Too Short/Incoherent	
16712009	Non-textual	
26511103	Machine Translation	
212626#2	Boilerplate	
709473	Encoding Issues	
2712134	Too Short/Incoherent	
3312913	HTML Source Code	
6613067	Too Short/Incoherent	
10508435	Non-textual	
10710263	Machine Translation	
11709892	Machine Translation	
13008521	Too Short/Incoherent	
14212827	Machine Translation	
17310408	Not Slovene	
18511003	Machine Translation	Non-textual
19410739	Non-textual	
22312279	Generated Text	
27508776	Too Short/Incoherent	
28110544	Non-textual	
28711300	Non-textual	
41308494	Machine Translation	
42012687	Not Slovene	
2959532	Too Short/Incoherent	
3559180	Too Long	
7560407	Non-textual	
18762293	Machine Translation	
19660820	Too Short/Incoherent	
28158959	Too Short/Incoherent	
29363023	Non-textual	
30059720	Not Slovene	
30059720#2	Not Slovene	
30962897	Not Slovene	
32960728	Non-textual	
37860223	Non-textual	
167013	Not Slovene	
3264277	Not Slovene	
3664465	Non-textual	
6564718	Not Slovene	
10164066	Non-textual	
10365827	Non-textual	
11864060	Not Slovene	
15966861	Not Slovene	
17165603	Multiple Texts	
21266240	Non-textual	
26364824	Too Long	
26666105	Generated Text	
27363653	Non-textual	
27664127	Not Slovene	
28566978	Too Short/Incoherent	
28867669	Multiple Texts	
668619	Too Short/Incoherent	
2869945	Too Long	
4768444	Non-textual	
12670513	Non-textual	
14672592	Non-textual	
18170435	Machine Translation	
18470134	Non-textual	
20169911	Machine Translation	
23169421	Not Slovene	
25768730	Too Short/Incoherent	
33170693	Non-textual	
34472716	Not Slovene	
3865183	Too Short/Incoherent	
6072833#1	Multiple Texts	
39172606	Machine Translation	
40372277	Machine Translation	
40868214	Too Short/Incoherent	
