ID	Main category 1	Secondary category 1	Main category 2	Secondary category 2	Agreement
34120808	Opinion/Argumentation	Information/Explanation	List of Summaries/Excerpts	Opinion/Argumentation	sek
425762	Information/Explanation		Information/Explanation		pop
1127818	Promotion of Services		Promotion of Services		pop
3023229	Lyrical		Lyrical		pop
3926140	List of Summaries/Excerpts	Promotion of a Product	List of Summaries/Excerpts	Promotion of a Product	pop
3926140#1	Promotion of a Product		List of Summaries/Excerpts	Promotion of a Product	sek
6023952	Opinion/Argumentation		Opinion/Argumentation	Information/Explanation	gl
6023952#1	Instruction		Instruction		pop
7028162	Instruction	Information/Explanation	Information/Explanation	Instruction	obr
9228089	Other	Opinionated News	List of Summaries/Excerpts		no
21825284	Information/Explanation	Promotion of a Product	Information/Explanation		gl
4431924	Opinion/Argumentation		Opinion/Argumentation	Information/Explanation	gl
4431924#1	Promotion of Services		Promotion of Services	Information/Explanation	gl
4431924#2	Review	Opinion/Argumentation	Opinion/Argumentation		hier
9929327	Promotion	News/Reporting	Promotion of Services	Information/Explanation	hier
17131072	Promotion of a Product		Promotion of Services		hier
23331578	List of Summaries/Excerpts		List of Summaries/Excerpts		pop
26431651	Promotion of Services		Promotion of Services		pop
3535087	Information/Explanation		Information/Explanation		pop
8835319	Instruction	Opinion/Argumentation	Instruction	Opinion/Argumentation	pop
15236636	Promotion of a Product		Promotion of a Product		pop
20033626	Promotion of a Product		Information/Explanation	Promotion	sek
28835009	Legal/Regulation		Legal/Regulation		pop
4042549	List of Summaries/Excerpts	Information/Explanation	Information/Explanation		sek
8840767	Opinion/Argumentation		Opinion/Argumentation	News/Reporting	gl
7847031	Instruction	Information/Explanation	Information/Explanation		sek
12946866	Opinion/Argumentation		Opinion/Argumentation	Information/Explanation	gl
12946866#1	List of Summaries/Excerpts	News/Reporting	List of Summaries/Excerpts		gl
19445399	List of Summaries/Excerpts	Promotion of a Product	List of Summaries/Excerpts	Promotion of a Product	pop
22945841	Opinion/Argumentation		Opinion/Argumentation		pop
1349771	Promotion of a Product	Opinion/Argumentation	Promotion of a Product		gl
8352179	Interview		Interview		pop
9549163	Information/Explanation	Promotion of a Product	Information/Explanation		gl
28949275	News/Reporting		News/Reporting		pop
30351285	News/Reporting	Promotion	News/Reporting		gl
2654150	Opinion/Argumentation	News/Reporting	News/Reporting	Opinion/Argumentation	obr
6657054	News/Reporting		News/Reporting		pop
10054136	Instruction	Information/Explanation	Information/Explanation		sek
11155039	List of Summaries/Excerpts		List of Summaries/Excerpts		pop
17355105	List of Summaries/Excerpts		List of Summaries/Excerpts	Promotion	gl
20756308	News/Reporting		News/Reporting		pop
23555836	Legal/Regulation		Legal/Regulation		pop
32653269	Promotion of a Product		Promotion of a Product		pop
110084	Other		Other		pop
212626	Information/Explanation		Information/Explanation	Opinion/Argumentation	gl
212626#1	Instruction	Information/Explanation	Instruction		gl
409851	Opinion/Argumentation	News/Reporting	Opinion/Argumentation		gl
512034	Promotion of a Product	Information/Explanation	Promotion of a Product		gl
812679	Promotion	Information/Explanation	Promotion of a Product		hier
1010651	Information/Explanation	Promotion of Services	Information/Explanation		gl
1313104	Information/Explanation		Information/Explanation	Opinion/Argumentation	gl
1911809	Promotion	News/Reporting	News/Reporting	Opinion/Argumentation	sek
2111810	Correspondence		Other		hier
2111810#1	Forum		Forum		pop
2511640	Promotion of a Product		Promotion of a Product		pop
2912500	Opinion/Argumentation		Opinion/Argumentation		pop
2912500#1	Correspondence		Other		hier
3112805	Promotion of a Product		Promotion of a Product		pop
3512864	List of Summaries/Excerpts	Promotion	Promotion of a Product		sek
3808380	News/Reporting		News/Reporting		pop
4008994	Information/Explanation	Promotion of Services	Information/Explanation		gl
4209661	Opinion/Argumentation	Promotion of a Product	Promotion of a Product	Opinion/Argumentation	obr
4410410	List of Summaries/Excerpts	Promotion of a Product	Promotion of a Product		sek
4611231	Recipe		Recipe		pop
4811693	Information/Explanation		Information/Explanation		pop
5013053	Forum		Forum		pop
5510393	News/Reporting		News/Reporting		pop
5510393#1	Opinion/Argumentation	News/Reporting	Opinion/Argumentation	News/Reporting	pop
5711728	News/Reporting		News/Reporting	Opinion/Argumentation	gl
6210068	Promotion of a Product		Promotion of a Product		pop
6411616	Promotion of a Product		Promotion of a Product		pop
6411616#1	Review		Review		pop
6411616#2	FAQ	Promotion of Services	FAQ		gl
6909741	News/Reporting		News/Reporting		pop
7111370	Promotion of Services	News/Reporting	Promotion of Services	News/Reporting	pop
7312744	Forum		Forum		pop
7609298	List of Summaries/Excerpts	Other	List of Summaries/Excerpts	Promotion of a Product	gl
7810976	Forum		Forum		pop
8012538	Promotion of Services	Information/Explanation	Promotion of Services	Information/Explanation	pop
8309722	Invitation	Call	Invitation		gl
8808636	Promotion of a Product		Promotion of a Product		pop
9212907	Other	List of Summaries/Excerpts	Machine translation		no
9509733	News/Reporting	Invitation	News/Reporting	Promotion	gl
10008971	Promotion of a Product		Promotion of a Product		pop
10211489	Invitation	Promotion	Invitation		gl
10912375	Promotion of a Product		Promotion of a Product		pop
10912375#1	Promotion of Services		Promotion of Services		pop
11209963	Other	Promotion	Promotion		sek
11412445	Information/Explanation		Information/Explanation		pop
12210135	Instruction		Machine translation		no
12710795	Promotion of a Product		Promotion of a Product		pop
13712105	Information/Explanation	Opinion/Argumentation	News/Reporting	Opinion/Argumentation	hier
14009823	Other	Promotion	Promotion of a Product		sek
14510793	Promotion of a Product		Promotion of a Product	News/Reporting	gl
14808799	Opinion/Argumentation	Information/Explanation	Other		no
15012556	Information/Explanation	Opinion/Argumentation	Information/Explanation		gl
15910322	Forum		Forum		pop
16209486	Forum		Forum		pop
16413006	Promotion of a Product	Information/Explanation	Instruction	Promotion	sek
16712009	Promotion of Services		Non-textual		no
17011201	Information/Explanation	Opinion/Argumentation	Information/Explanation		gl
17011201#1	Instruction	Information/Explanation	Instruction		gl
17011201#2	Promotion	Opinion/Argumentation	Promotion of Services	Opinion/Argumentation	hier
17910889	Promotion of Services	Information/Explanation	Promotion of Services		gl
19709849	List of Summaries/Excerpts	Legal/Regulation	List of Summaries/Excerpts	Legal/Regulation	pop
20212172	Opinion/Argumentation	Information/Explanation	Opinion/Argumentation		gl
20812856	Research Article		Research Article		pop
21112233	Information/Explanation		Information/Explanation		pop
21412349	Information/Explanation		Information/Explanation		pop
21712314	Instruction		Instruction		pop
22011899	List of Summaries/Excerpts		List of Summaries/Excerpts	Invitation	gl
23511225	Promotion	News/Reporting	News/Reporting	Promotion	obr
24208612	List of Summaries/Excerpts	Recipe	List of Summaries/Excerpts	Recipe	pop
25112704	Information/Explanation	Promotion of a Product	Information/Explanation		gl
26511103	Information/Explanation		Machine translation		no
27508776#1	Interview		Interview		pop
